PULocationID,q_star,Cu,tau
83,37,38.73,0.5778
84,3,64.26,0.6942
85,11,28.98,0.5059
86,42,47.21,0.6252
87,338,32.65,0.5356
88,159,33.67,0.5433
89,29,29.56,0.5108
90,78,22.85,0.4467
91,4,26.66,0.485
92,73,34.14,0.5467
93,5,64.31,0.6944
94,4,30.67,0.5201
95,120,32.21,0.5323
96,2,33.22,0.54
97,22,27.96,0.4969
98,16,30.77,0.5209
99,0,42.24,0.5988
100,78,26.43,0.4829
101,19,37.8,0.5719
102,6,27.39,0.4918
105,0,50.76,0.642
106,8,29.96,0.5143
107,96,23.13,0.4497
108,7,33.4,0.5413
109,4,79.01,0.7362
110,0,42.24,0.5988
111,0,37.33,0.5688
112,32,30.92,0.5221
113,77,22.69,0.4449
114,46,23.3,0.4515
115,4,47.04,0.6244
116,42,27.57,0.4935
117,27,46.29,0.6205
118,5,53.76,0.6551
119,7,31.9,0.5299
120,5,33.57,0.5426
121,39,30.98,0.5226
122,21,29.92,0.5139
123,3,26.97,0.4879
124,26,35.52,0.5566
125,46,26.18,0.4806
126,6,31.06,0.5233
127,177,33.92,0.5451
128,15,36.81,0.5653
129,113,41.78,0.5962
130,121,32.0,0.5306
131,29,30.76,0.5208
132,336,81.49,0.7422
133,9,30.39,0.5178
134,43,49.4,0.6357
135,34,32.74,0.5363
136,6,33.61,0.5428
137,71,23.45,0.4532
138,496,71.25,0.7157
139,33,36.91,0.566
140,131,23.29,0.4514
141,112,20.66,0.422
142,124,21.83,0.4355
143,88,21.44,0.4311
144,63,25.87,0.4775
145,104,31.36,0.5256
146,32,29.47,0.5101
147,4,29.46,0.51
148,179,27.82,0.4957
149,11,27.86,0.496
150,5,36.0,0.5598
151,50,21.24,0.4287
152,23,25.38,0.4728
153,45,29.64,0.5116
154,0,37.73,0.5714
155,11,28.63,0.5028
156,7,53.38,0.6535
157,43,39.18,0.5806
158,57,26.55,0.484
159,9,28.1,0.4982
160,34,33.33,0.5408
161,209,26.18,0.4805
162,148,25.48,0.4738
163,135,26.39,0.4825
164,123,25.63,0.4753
165,4,27.13,0.4894
166,57,24.17,0.4606
167,8,29.05,0.5065
168,12,28.72,0.5037
169,9,30.11,0.5155
170,155,24.6,0.4651
171,34,32.12,0.5316
172,4,41.89,0.5968
173,30,28.97,0.5058
174,11,35.45,0.5561
175,13,31.2,0.5243
176,2,44.85,0.6131
177,16,29.43,0.5097
178,2,26.6,0.4845
179,52,30.41,0.518
180,24,34.51,0.5494
181,36,29.5,0.5104
182,6,33.21,0.5399
183,3,33.94,0.5453
184,1,40.06,0.586
185,8,31.68,0.5281
186,127,26.03,0.4791
187,4,54.34,0.6575
188,31,28.06,0.4979
189,12,30.53,0.5189
190,1,30.78,0.5209
191,53,32.57,0.5351
192,25,30.48,0.5185
193,5,21.86,0.4358
194,7,55.37,0.6617
195,7,53.81,0.6553
196,48,35.1,0.5536
197,77,37.93,0.5727
198,12,27.48,0.4926
199,0,67.06,0.7032
200,5,38.25,0.5748
201,9,45.95,0.6188
202,35,37.28,0.5685
203,33,39.25,0.581
204,2,117.84,0.8063
205,71,32.35,0.5334
206,10,54.92,0.6599
207,4,30.81,0.5212
208,7,34.02,0.5458
209,109,31.38,0.5258
210,16,33.38,0.5412
211,58,25.83,0.4771
212,6,30.29,0.5169
213,11,31.64,0.5278
214,5,43.07,0.6034
215,54,37.79,0.5717
216,110,52.8,0.651
217,3,28.52,0.5019
218,36,34.6,0.5501
219,36,50.87,0.6425
220,9,35.87,0.559
221,25,37.13,0.5675
222,6,31.59,0.5275
223,20,43.67,0.6068
224,23,23.34,0.452
225,28,29.48,0.5102
226,99,41.62,0.5952
227,12,30.96,0.5224
228,21,33.67,0.5433
229,83,23.18,0.4502
230,834,32.0,0.5306
231,545,28.08,0.498
232,40,27.5,0.4928
233,80,26.18,0.4805
234,139,22.87,0.4469
235,9,30.41,0.518
236,203,20.78,0.4233
237,222,20.47,0.4197
238,104,21.33,0.4298
239,121,21.75,0.4345
240,1,35.99,0.5598
241,8,34.93,0.5524
242,12,31.74,0.5286
243,327,32.76,0.5365
244,496,31.12,0.5237
245,4,53.58,0.6543
246,130,25.18,0.4708
247,10,28.89,0.5051
248,5,30.5,0.5187
249,73,22.43,0.4421
250,12,30.78,0.5209
251,4,48.26,0.6303
252,23,32.59,0.5352
253,1,38.78,0.5781
254,23,33.88,0.5448
255,25,31.55,0.5271
256,24,31.32,0.5253
257,7,33.41,0.5414
258,14,28.2,0.4991
259,16,34.92,0.5523
260,59,35.05,0.5532
261,254,33.03,0.5385
262,72,22.05,0.438
263,82,20.95,0.4253
264,1,31.37,0.5257
265,1,87.1,0.7547
